18:25:16.480 INFO  com.solvd.taxiservice.Main.main() @26             - User{id=3, email='temp@gmail.com', profile=Profile{id='3', name='Juanito', phoneNumber='(432)123-1234'}, driverLicense=DriverLicense{id='3', licenseNumber='xd3FH323421', dateOfBirth=1989-12-23, expirationDate=2123-05-01}, vehicle=Vehicle{id='1', model='Ford F150', licensePlate='94ghy6'}, rides=[Ride{id=2, pickUpLocations=' 323 Pineapple st, San Francisco', dropOffLocation='321 orange, Fresno', status=' DONE ', rideType=RideType{id=2, type='luxury', costPerMile=0.9}, reviews=[]}]}
18:25:16.512 INFO  com.solvd.taxiservice.Main.main() @30             - User{id=0, email='null', profile=Profile{id='0', name='null', phoneNumber='null'}, driverLicense=DriverLicense{id='0', licenseNumber='null', dateOfBirth=Wed Jun 07 18:25:16 PDT 2023, expirationDate=Wed Jun 07 18:25:16 PDT 2023}, vehicle=Vehicle{id='0', model='null', licensePlate='null'}, rides=[]}
18:25:16.542 INFO  com.solvd.taxiservice.Main.main() @41             - [Ride{id=1, pickUpLocations=' 123 apple st, San Francisco', dropOffLocation='321 orange, Fresno', status=' DONE ', rideType=RideType{id=1, type='standard', costPerMile=0.5}, reviews=[Review{id=1, rating=4, comment=' good ride'}, Review{id=2, rating=4, comment=' greate ride'}]}]
18:25:16.581 INFO  com.solvd.taxiservice.Main.main() @47             - Trip{id=1, startTime=2023-06-01T16:29:55, endTime=2023-06-01T16:29:55, distance=22.0, ride=Ride{id=1, pickUpLocations=' 123 apple st, San Francisco', dropOffLocation='321 orange, Fresno', status=' DONE ', rideType=RideType{id=1, type='standard', costPerMile=0.5}, reviews=[Review{id=1, rating=4, comment=' good ride'}, Review{id=2, rating=4, comment=' greate ride'}]}, promoCode=PromoCode{id=1, code='TAXI40', discount=0.75, expirationDate=2023-12-30}}
18:25:16.614 INFO  com.solvd.taxiservice.Main.main() @54             - Invoice{id=1, taxAmount=4.23, totalAmount=55.43, trip=Trip{id=1, startTime=2023-06-01T16:29:55, endTime=2023-06-01T16:29:55, distance=22.0, ride=Ride{id=1, pickUpLocations=' 123 apple st, San Francisco', dropOffLocation='321 orange, Fresno', status=' DONE ', rideType=RideType{id=1, type='standard', costPerMile=0.5}, reviews=[Review{id=1, rating=4, comment=' good ride'}, Review{id=2, rating=4, comment=' greate ride'}]}, promoCode=PromoCode{id=1, code='TAXI40', discount=0.75, expirationDate=2023-12-30}}}
18:25:16.661 INFO  com.solvd.taxiservice.Main.main() @61             - Payment{id=1, paymentStatus='PAID', paymentMethod=PaymentMethod{id=2, method='Credit', comment=' Visa'}, invoice=Invoice{id=1, taxAmount=4.23, totalAmount=55.43, trip=Trip{id=1, startTime=2023-06-01T16:29:55, endTime=2023-06-01T16:29:55, distance=22.0, ride=Ride{id=1, pickUpLocations=' 123 apple st, San Francisco', dropOffLocation='321 orange, Fresno', status=' DONE ', rideType=RideType{id=1, type='standard', costPerMile=0.5}, reviews=[Review{id=1, rating=4, comment=' good ride'}, Review{id=2, rating=4, comment=' greate ride'}]}, promoCode=PromoCode{id=1, code='TAXI40', discount=0.75, expirationDate=2023-12-30}}}}
23:05:12.149 INFO  com.solvd.taxiservice.Main.task15() @56             - User{id=3, email='temp@gmail.com', profile=Profile{id='3', name='Juanito', phoneNumber='(432)123-1234'}, driverLicense=DriverLicense{id='3', licenseNumber='xd3FH323421', dateOfBirth=1989-12-23, expirationDate=2123-05-01}, vehicle=Vehicle{id='1', model='Ford F150', licensePlate='94ghy6'}, rides=[Ride{id=2, pickUpLocations=' 323 Pineapple st, San Francisco', dropOffLocation='321 orange, Fresno', status=' DONE ', rideType=RideType{id=2, type='luxury', costPerMile=0.9}, reviews=[]}]}
23:05:12.172 INFO  com.solvd.taxiservice.Main.task15() @60             - User{id=0, email='null', profile=Profile{id='0', name='null', phoneNumber='null'}, driverLicense=DriverLicense{id='0', licenseNumber='null', dateOfBirth=Wed Jun 07 23:05:12 PDT 2023, expirationDate=Wed Jun 07 23:05:12 PDT 2023}, vehicle=Vehicle{id='0', model='null', licensePlate='null'}, rides=[]}
23:05:12.190 INFO  com.solvd.taxiservice.Main.task15() @71             - [Ride{id=1, pickUpLocations=' 123 apple st, San Francisco', dropOffLocation='321 orange, Fresno', status=' DONE ', rideType=RideType{id=1, type='standard', costPerMile=0.5}, reviews=[Review{id=1, rating=4, comment=' good ride'}, Review{id=2, rating=4, comment=' greate ride'}]}]
23:05:12.217 INFO  com.solvd.taxiservice.Main.task15() @77             - Trip{id=1, startTime=2023-06-01T16:29:55, endTime=2023-06-01T16:29:55, distance=22.0, ride=Ride{id=1, pickUpLocations=' 123 apple st, San Francisco', dropOffLocation='321 orange, Fresno', status=' DONE ', rideType=RideType{id=1, type='standard', costPerMile=0.5}, reviews=[Review{id=1, rating=4, comment=' good ride'}, Review{id=2, rating=4, comment=' greate ride'}]}, promoCode=PromoCode{id=1, code='TAXI40', discount=0.75, expirationDate=2023-12-30}}
23:05:12.247 INFO  com.solvd.taxiservice.Main.task15() @84             - Invoice{id=1, taxAmount=4.23, totalAmount=55.43, trip=Trip{id=1, startTime=2023-06-01T16:29:55, endTime=2023-06-01T16:29:55, distance=22.0, ride=Ride{id=1, pickUpLocations=' 123 apple st, San Francisco', dropOffLocation='321 orange, Fresno', status=' DONE ', rideType=RideType{id=1, type='standard', costPerMile=0.5}, reviews=[Review{id=1, rating=4, comment=' good ride'}, Review{id=2, rating=4, comment=' greate ride'}]}, promoCode=PromoCode{id=1, code='TAXI40', discount=0.75, expirationDate=2023-12-30}}}
